Customer_ID,Customer_Name,Customer_Type,Location_ID,Sales_Channel,Customer_Since,Customer_Since_Original,Customer_Since_Corrected_Flag
C00001,Customer 00001,Consumer,LOC04,Marketplace,2023-03-02,2023-03-02,False
C00002,Customer 00002,Consumer,LOC05,Retail Store,2022-09-05,2022-09-05,False
C00003,Customer 00003,Consumer,LOC05,Online,2023-02-08,2023-02-08,False
C00004,Customer 00004,Enterprise,LOC01,Online,2023-06-12,2023-06-12,False
C00005,Customer 00005,Consumer,LOC06,Retail Store,2022-07-26,2022-07-26,False
C00006,Customer 00006,Small Business,LOC02,Online,2020-11-28,2020-11-28,False
C00007,Customer 00007,Consumer,LOC02,Marketplace,2022-02-10,2022-02-10,False
C00008,Customer 00008,Consumer,LOC02,Marketplace,2021-03-10,2021-03-10,False
C00009,Customer 00009,Consumer,LOC03,Online,2022-04-15,2022-04-15,False
C00010,Customer 00010,Small Business,LOC02,Online,2023-01-12,2023-01-12,False
C00011,Customer 00011,Consumer,LOC03,Online,2021-01-11,2021-01-11,False
C00012,Customer 00012,Consumer,LOC02,Online,2021-03-24,2021-03-24,False
C00013,Customer 00013,Consumer,LOC01,Online,2024-01-18,2024-01-21,True
C00014,Customer 00014,Consumer,LOC03,Online,2021-11-10,2021-11-10,False
C00015,Customer 00015,Consumer,LOC05,Marketplace,2020-12-23,2020-12-23,False
C00016,Customer 00016,Consumer,LOC05,Retail Store,2023-07-07,2023-07-07,False
C00017,Customer 00017,Consumer,LOC03,Retail Store,2023-07-13,2023-07-13,False
C00018,Customer 00018,Small Business,LOC02,Online,2024-01-07,2024-01-27,True
C00019,Customer 00019,Small Business,LOC05,Online,2023-09-29,2023-09-29,False
C00020,Customer 00020,Consumer,LOC05,Online,2024-01-03,2024-11-20,True
C00021,Customer 00021,Consumer,LOC05,Online,2022-10-31,2022-10-31,False
C00022,Customer 00022,Consumer,LOC06,Retail Store,2021-05-31,2021-05-31,False
C00023,Customer 00023,Consumer,LOC05,Online,2024-01-06,2024-04-02,True
C00024,Customer 00024,Consumer,LOC06,Online,2021-04-21,2021-04-21,False
C00025,Customer 00025,Consumer,LOC03,Retail Store,2021-06-07,2021-06-07,False
C00026,Customer 00026,Consumer,LOC03,Online,2024-01-01,2024-01-31,True
C00027,Customer 00027,Small Business,LOC02,Online,2024-01-06,2024-05-05,True
C00028,Customer 00028,Consumer,LOC02,Online,2021-09-02,2021-09-02,False
C00029,Customer 00029,Small Business,LOC05,Marketplace,2023-08-05,2023-08-05,False
C00030,Customer 00030,Consumer,LOC05,Marketplace,2024-01-01,2024-07-18,True
C00031,Customer 00031,Consumer,LOC05,Online,2023-12-08,2023-12-08,False
C00032,Customer 00032,Consumer,LOC02,Retail Store,2020-01-09,2020-01-09,False
C00033,Customer 00033,Consumer,LOC03,Retail Store,2023-04-11,2023-04-11,False
C00034,Customer 00034,Small Business,LOC02,Retail Store,2020-11-01,2020-11-01,False
C00035,Customer 00035,Small Business,LOC06,Online,2024-01-03,2024-03-03,True
C00036,Customer 00036,Consumer,LOC02,Online,2020-04-30,2020-04-30,False
C00037,Customer 00037,Enterprise,LOC01,Retail Store,2024-01-09,2024-11-22,True
