PO_ID,Supplier_ID,Product_ID,Warehouse_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Ordered_Qty,Received_Qty,Unit_Cost,PO_Value
PO0000001,S004,P0031,WH01,2024-01-01,2024-01-09,2024-01-09,50,46,474.17,23708.65
PO0000002,S004,P0031,WH04,2024-01-01,2024-01-05,2024-01-06,50,46,471.99,23599.41
PO0000003,S006,P0034,WH01,2024-01-01,2024-01-08,2024-01-11,50,49,2990.69,149534.34
PO0000004,S006,P0034,WH04,2024-01-01,2024-01-09,2024-01-09,50,49,3165.92,158295.99
PO0000005,S011,P0012,WH05,2024-01-02,2024-01-09,2024-01-14,61,59,2444.13,149091.79
PO0000006,S004,P0031,WH01,2024-01-02,2024-01-09,2024-01-09,50,47,487.41,24370.31
PO0000007,S004,P0031,WH04,2024-01-02,2024-01-09,2024-01-09,50,47,500.19,25009.32
PO0000008,S006,P0034,WH01,2024-01-02,2024-01-06,2024-01-06,50,50,3156.07,157803.47
PO0000009,S011,P0006,WH04,2024-01-03,2024-01-05,2024-01-06,50,48,2875.57,143778.61
PO0000010,S006,P0034,WH01,2024-01-03,2024-01-09,2024-01-14,50,48,3086.1,154304.9
PO0000011,S006,P0034,WH02,2024-01-03,2024-01-11,2024-01-11,50,50,2979.35,148967.56
PO0000012,S006,P0034,WH04,2024-01-03,2024-01-10,2024-01-11,50,49,2975.19,148759.53
PO0000013,S012,P0040,WH04,2024-01-03,2024-01-16,2024-01-16,50,47,694.48,34723.96
PO0000014,S011,P0006,WH01,2024-01-04,2024-01-07,2024-01-07,50,47,2782.5,139124.91
PO0000015,S011,P0006,WH03,2024-01-04,2024-01-07,2024-01-07,50,49,2863.26,143163.23
PO0000016,S007,P0013,WH01,2024-01-04,2024-01-08,2024-01-08,50,49,2574.26,128712.92
PO0000017,S006,P0024,WH04,2024-01-04,2024-01-10,2024-01-10,58,58,624.59,36226.07
PO0000018,S004,P0031,WH04,2024-01-04,2024-01-12,2024-01-12,50,49,450.99,22549.28
PO0000019,S006,P0034,WH04,2024-01-04,2024-01-09,2024-01-11,50,48,2864.6,143230.0
PO0000020,S011,P0006,WH02,2024-01-05,2024-01-10,2024-01-10,50,50,2796.79,139839.66
PO0000021,S011,P0006,WH03,2024-01-05,2024-01-10,2024-01-13,56,54,2693.38,150829.56
PO0000022,S011,P0006,WH05,2024-01-05,2024-01-11,2024-01-11,50,46,2795.66,139783.17
PO0000023,S010,P0009,WH04,2024-01-05,2024-01-12,2024-01-12,50,49,2428.51,121425.7
PO0000024,S011,P0012,WH02,2024-01-05,2024-01-09,2024-01-10,50,48,2354.74,117736.99
PO0000025,S011,P0012,WH05,2024-01-05,2024-01-07,2024-01-07,50,45,2400.85,120042.39
PO0000026,S006,P0018,WH01,2024-01-05,2024-01-13,2024-01-18,50,50,1039.31,51965.37
PO0000027,S009,P0022,WH05,2024-01-05,2024-01-15,2024-01-15,50,48,471.22,23561.03
