Order_ID,Date_ID,Order_Date,Product_ID,Customer_ID,Warehouse_ID,Quantity,Unit_Price,Discount_Rate,Sales_Value,Sales_Outlier_Flag
ORD00000001,20240101,2024-01-01,P0001,C00099,WH01,5,1798.19,0.0,8990.95,False
ORD00000002,20240101,2024-01-01,P0001,C00342,WH02,11,1798.19,0.1,17802.08,False
ORD00000003,20240101,2024-01-01,P0001,C00449,WH03,16,1798.19,0.0,28771.04,False
ORD00000004,20240101,2024-01-01,P0001,C00533,WH04,3,1798.19,0.0,5394.57,False
ORD00000005,20240101,2024-01-01,P0001,C00339,WH05,6,1798.19,0.05,10249.68,False
ORD00000006,20240101,2024-01-01,P0002,C00563,WH01,5,950.45,0.0,4752.25,False
ORD00000007,20240101,2024-01-01,P0002,C00129,WH02,13,950.45,0.0,12355.85,False
ORD00000008,20240101,2024-01-01,P0002,C00344,WH03,9,950.45,0.03,8297.43,False
ORD00000009,20240101,2024-01-01,P0002,C00523,WH04,6,950.45,0.15,4847.3,False
ORD00000010,20240101,2024-01-01,P0002,C00620,WH05,11,950.45,0.05,9932.2,False
ORD00000011,20240101,2024-01-01,P0003,C00098,WH01,8,1220.29,0.05,9274.2,False
ORD00000012,20240101,2024-01-01,P0003,C00246,WH02,9,1220.29,0.0,10982.61,False
ORD00000013,20240101,2024-01-01,P0003,C00118,WH03,4,1220.29,0.05,4637.1,False
ORD00000014,20240101,2024-01-01,P0003,C00321,WH04,8,1220.29,0.1,8786.09,False
ORD00000015,20240101,2024-01-01,P0003,C00199,WH05,11,1220.29,0.0,13423.19,False
ORD00000016,20240101,2024-01-01,P0004,C00421,WH01,6,2227.7,0.03,12965.21,False
ORD00000017,20240101,2024-01-01,P0004,C00354,WH02,12,2227.7,0.0,26732.4,False
ORD00000018,20240101,2024-01-01,P0004,C00691,WH03,16,2227.7,0.1,32078.88,False
ORD00000019,20240101,2024-01-01,P0004,C00987,WH04,12,2227.7,0.0,26732.4,False
ORD00000020,20240101,2024-01-01,P0004,C00579,WH05,4,2227.7,0.1,8019.72,False
ORD00000021,20240101,2024-01-01,P0005,C00012,WH01,1,1650.77,0.0,1650.77,False
ORD00000022,20240101,2024-01-01,P0005,C00612,WH02,5,1650.77,0.0,8253.85,False
ORD00000023,20240101,2024-01-01,P0005,C00160,WH03,2,1650.77,0.0,3301.54,False
ORD00000024,20240101,2024-01-01,P0005,C00249,WH04,1,1650.77,0.0,1650.77,False
ORD00000025,20240101,2024-01-01,P0005,C00406,WH05,7,1650.77,0.05,10977.62,False
ORD00000026,20240101,2024-01-01,P0006,C00101,WH02,2,3622.89,0.1,6521.2,False
ORD00000027,20240101,2024-01-01,P0006,C00693,WH03,1,3622.89,0.05,3441.75,False
ORD00000028,20240101,2024-01-01,P0006,C00783,WH04,1,3622.89,0.0,3622.89,False
ORD00000029,20240101,2024-01-01,P0006,C00830,WH05,2,3622.89,0.0,7245.78,False
ORD00000030,20240101,2024-01-01,P0007,C00613,WH01,7,2956.62,0.1,18626.71,False
ORD00000031,20240101,2024-01-01,P0007,C00274,WH02,4,2956.62,0.0,11826.48,False
ORD00000032,20240101,2024-01-01,P0007,C00332,WH03,8,2956.62,0.0,23652.96,False
ORD00000033,20240101,2024-01-01,P0007,C00083,WH04,9,2956.62,0.0,26609.58,False
ORD00000034,20240101,2024-01-01,P0007,C00220,WH05,6,2956.62,0.0,17739.72,False
ORD00000035,20240101,2024-01-01,P0008,C00115,WH01,4,968.68,0.03,3758.48,False
ORD00000036,20240101,2024-01-01,P0008,C00220,WH02,12,968.68,0.1,10461.74,False
ORD00000037,20240101,2024-01-01,P0008,C00336,WH03,6,968.68,0.05,5521.48,False
ORD00000038,20240101,2024-01-01,P0008,C00031,WH04,3,968.68,0.0,2906.04,False
ORD00000039,20240101,2024-01-01,P0008,C00539,WH05,8,968.68,0.03,7516.96,False
ORD00000040,20240101,2024-01-01,P0009,C00137,WH01,2,3207.48,0.0,6414.96,False
ORD00000041,20240101,2024-01-01,P0009,C00741,WH02,1,3207.48,0.0,3207.48,False
ORD00000042,20240101,2024-01-01,P0009,C00675,WH03,3,3207.48,0.1,8660.2,False
ORD00000043,20240101,2024-01-01,P0009,C00774,WH04,4,3207.48,0.0,12829.92,False
ORD00000044,20240101,2024-01-01,P0009,C00124,WH05,2,3207.48,0.0,6414.96,False
ORD00000045,20240101,2024-01-01,P0010,C00414,WH01,7,3567.8,0.0,24974.6,False
ORD00000046,20240101,2024-01-01,P0010,C00913,WH02,3,3567.8,0.0,10703.4,False
ORD00000047,20240101,2024-01-01,P0010,C00304,WH03,3,3567.8,0.0,10703.4,False
ORD00000048,20240101,2024-01-01,P0010,C00234,WH04,5,3567.8,0.0,17839.0,False
ORD00000049,20240101,2024-01-01,P0010,C00156,WH05,3,3567.8,0.03,10382.3,False
ORD00000050,20240101,2024-01-01,P0011,C00154,WH01,5,746.61,0.1,3359.75,False
ORD00000051,20240101,2024-01-01,P0011,C00588,WH02,3,746.61,0.1,2015.85,False
ORD00000052,20240101,2024-01-01,P0011,C00882,WH03,9,746.61,0.0,6719.49,False
ORD00000053,20240101,2024-01-01,P0011,C00744,WH04,10,746.61,0.05,7092.8,False
ORD00000054,20240101,2024-01-01,P0011,C00089,WH05,7,746.61,0.05,4964.96,False
ORD00000055,20240101,2024-01-01,P0012,C00951,WH01,2,3089.32,0.05,5869.71,False
ORD00000056,20240101,2024-01-01,P0012,C00014,WH02,6,3089.32,0.05,17609.12,False
ORD00000057,20240101,2024-01-01,P0012,C00773,WH04,4,3089.32,0.03,11986.56,False
ORD00000058,20240101,2024-01-01,P0012,C00176,WH05,7,3089.32,0.0,21625.24,False
ORD00000059,20240101,2024-01-01,P0013,C00160,WH01,1,3614.28,0.0,3614.28,False
ORD00000060,20240101,2024-01-01,P0013,C00276,WH02,4,3614.28,0.0,14457.12,False
ORD00000061,20240101,2024-01-01,P0013,C00462,WH03,3,3614.28,0.03,10517.55,False
ORD00000062,20240101,2024-01-01,P0013,C00269,WH04,1,3614.28,0.0,3614.28,False
ORD00000063,20240101,2024-01-01,P0013,C00552,WH05,1,3614.28,0.0,3614.28,False
ORD00000064,20240101,2024-01-01,P0014,C00977,WH01,7,2634.32,0.03,17887.03,False
ORD00000065,20240101,2024-01-01,P0014,C00823,WH02,14,2634.32,0.03,35774.07,False
ORD00000066,20240101,2024-01-01,P0014,C00862,WH03,11,2634.32,0.03,28108.19,False
ORD00000067,20240101,2024-01-01,P0014,C00511,WH04,10,2634.32,0.03,25552.9,False
ORD00000068,20240101,2024-01-01,P0014,C00583,WH05,12,2634.32,0.0,31611.84,False
ORD00000069,20240101,2024-01-01,P0015,C00260,WH01,7,325.37,0.1,2049.83,False
ORD00000070,20240101,2024-01-01,P0015,C00410,WH02,10,325.37,0.0,3253.7,False
ORD00000071,20240101,2024-01-01,P0015,C00196,WH03,7,325.37,0.05,2163.71,False
ORD00000072,20240101,2024-01-01,P0015,C00549,WH04,9,325.37,0.05,2781.91,False
ORD00000073,20240101,2024-01-01,P0015,C00941,WH05,4,325.37,0.03,1262.44,False
ORD00000074,20240101,2024-01-01,P0016,C00814,WH01,10,1110.44,0.05,10549.18,False
ORD00000075,20240101,2024-01-01,P0016,C00928,WH02,9,1110.44,0.05,9494.26,False
ORD00000076,20240101,2024-01-01,P0016,C00942,WH03,12,1110.44,0.0,13325.28,False
ORD00000077,20240101,2024-01-01,P0016,C00409,WH04,8,1110.44,0.0,8883.52,False
ORD00000078,20240101,2024-01-01,P0016,C00828,WH05,10,1110.44,0.05,10549.18,False
ORD00000079,20240101,2024-01-01,P0017,C00360,WH01,15,1114.83,0.0,16722.45,False
ORD00000080,20240101,2024-01-01,P0017,C00885,WH02,17,1114.83,0.03,18383.55,False
ORD00000081,20240101,2024-01-01,P0017,C00022,WH03,11,1114.83,0.05,11649.97,False
ORD00000082,20240101,2024-01-01,P0017,C00576,WH04,19,1114.83,0.0,21181.77,False
ORD00000083,20240101,2024-01-01,P0017,C00954,WH05,9,1114.83,0.0,10033.47,False
ORD00000084,20240101,2024-01-01,P0018,C00622,WH01,6,1366.31,0.03,7951.92,False
ORD00000085,20240101,2024-01-01,P0018,C00862,WH02,4,1366.31,0.0,5465.24,False
ORD00000086,20240101,2024-01-01,P0018,C00449,WH03,2,1366.31,0.0,2732.62,False
ORD00000087,20240101,2024-01-01,P0018,C00884,WH04,3,1366.31,0.03,3975.96,False
ORD00000088,20240101,2024-01-01,P0018,C00627,WH05,2,1366.31,0.0,2732.62,False
ORD00000089,20240101,2024-01-01,P0019,C00244,WH01,8,2758.24,0.0,22065.92,False
ORD00000090,20240101,2024-01-01,P0019,C00612,WH02,9,2758.24,0.1,22341.74,False
ORD00000091,20240101,2024-01-01,P0019,C00789,WH03,8,2758.24,0.03,21403.94,False
ORD00000092,20240101,2024-01-01,P0019,C00948,WH04,8,2758.24,0.05,20962.62,False
ORD00000093,20240101,2024-01-01,P0019,C00595,WH05,10,2758.24,0.15,23445.04,False
ORD00000094,20240101,2024-01-01,P0020,C00864,WH01,4,3034.72,0.0,12138.88,False
ORD00000095,20240101,2024-01-01,P0020,C00271,WH02,7,3034.72,0.0,21243.04,False
ORD00000096,20240101,2024-01-01,P0020,C00500,WH03,11,3034.72,0.15,28374.63,False
ORD00000097,20240101,2024-01-01,P0020,C00491,WH04,5,3034.72,0.1,13656.24,False
ORD00000098,20240101,2024-01-01,P0020,C00527,WH05,6,3034.72,0.03,17662.07,False
ORD00000099,20240101,2024-01-01,P0021,C00324,WH01,21,840.91,0.0,17659.11,False
ORD00000100,20240101,2024-01-01,P0021,C00129,WH02,13,840.91,0.05,10385.24,False
ORD00000101,20240101,2024-01-01,P0021,C00922,WH03,12,840.91,0.05,9586.37,False
ORD00000102,20240101,2024-01-01,P0021,C00268,WH04,9,840.91,0.0,7568.19,False
ORD00000103,20240101,2024-01-01,P0021,C00753,WH05,6,840.91,0.1,4540.91,False
ORD00000104,20240101,2024-01-01,P0022,C00416,WH01,3,611.26,0.15,1558.71,False
ORD00000105,20240101,2024-01-01,P0022,C00553,WH02,2,611.26,0.0,1222.52,False
ORD00000106,20240101,2024-01-01,P0022,C00516,WH03,4,611.26,0.1,2200.54,False
ORD00000107,20240101,2024-01-01,P0022,C00017,WH04,1,611.26,0.05,580.7,False
ORD00000108,20240101,2024-01-01,P0022,C00887,WH05,4,611.26,0.0,2445.04,False
ORD00000109,20240101,2024-01-01,P0023,C00610,WH01,7,897.51,0.0,6282.57,False
ORD00000110,20240101,2024-01-01,P0023,C00135,WH02,5,897.51,0.0,4487.55,False
ORD00000111,20240101,2024-01-01,P0023,C00728,WH03,6,897.51,0.0,5385.06,False
ORD00000112,20240101,2024-01-01,P0023,C00148,WH04,1,897.51,0.0,897.51,False
ORD00000113,20240101,2024-01-01,P0023,C00752,WH05,5,897.51,0.05,4263.17,False
ORD00000114,20240101,2024-01-01,P0024,C00502,WH01,1,889.43,0.05,844.96,False
ORD00000115,20240101,2024-01-01,P0024,C00928,WH02,2,889.43,0.03,1725.49,False
ORD00000116,20240101,2024-01-01,P0024,C00254,WH04,1,889.43,0.0,889.43,False
