Shipment_ID,Order_ID,Warehouse_ID,Carrier_ID,Dispatch_Date,Expected_Delivery_Date,Actual_Delivery_Date,Distance_KM,Shipping_Cost,Delivery_Status
SH00000001,ORD00000001,WH01,CAR05,2024-01-01,2024-01-03,2024-01-03,1531.3,368.07,On Time
SH00000002,ORD00000002,WH02,CAR05,2024-01-02,2024-01-06,2024-01-06,780.7,289.19,On Time
SH00000003,ORD00000003,WH03,CAR06,2024-01-01,2024-01-05,2024-01-05,1317.2,325.25,On Time
SH00000004,ORD00000004,WH04,CAR01,2024-01-01,2024-01-02,2024-01-02,30.9,204.11,On Time
SH00000005,ORD00000005,WH05,CAR02,2024-01-01,2024-01-03,2024-01-03,83.7,228.24,On Time
SH00000006,ORD00000006,WH01,CAR02,2024-01-01,2024-01-05,2024-01-06,1316.0,270.81,Late
SH00000007,ORD00000007,WH02,CAR04,2024-01-01,2024-01-03,2024-01-03,870.2,187.12,On Time
SH00000008,ORD00000008,WH03,CAR06,2024-01-02,2024-01-05,2024-01-05,829.0,252.5,On Time
SH00000009,ORD00000009,WH04,CAR03,2024-01-01,2024-01-04,2024-01-04,831.4,265.22,On Time
SH00000010,ORD00000010,WH05,CAR05,2024-01-02,2024-01-04,2024-01-04,537.4,267.54,On Time
SH00000011,ORD00000011,WH01,CAR06,2024-01-02,2024-01-04,2024-01-04,901.1,280.34,On Time
SH00000012,ORD00000012,WH02,CAR04,2024-01-02,2024-01-05,2024-01-05,1341.9,200.74,On Time
SH00000013,ORD00000013,WH03,CAR03,2024-01-02,2024-01-05,2024-01-05,1796.3,287.12,On Time
SH00000014,ORD00000014,WH04,CAR01,2024-01-01,2024-01-04,2024-01-04,472.6,219.83,On Time
SH00000015,ORD00000015,WH05,CAR06,2024-01-01,2024-01-06,2024-01-06,1544.5,276.55,On Time
SH00000016,ORD00000016,WH01,CAR06,2024-01-01,2024-01-05,2024-01-05,800.2,257.08,On Time
SH00000017,ORD00000017,WH02,CAR01,2024-01-01,2024-01-04,2024-01-04,1007.9,256.53,On Time
SH00000018,ORD00000018,WH03,CAR04,2024-01-01,2024-01-04,2024-01-05,1283.3,193.92,Late
SH00000019,ORD00000019,WH04,CAR02,2024-01-02,2024-01-03,2024-01-03,927.7,254.42,On Time
SH00000020,ORD00000020,WH05,CAR03,2024-01-02,2024-01-04,2024-01-04,124.9,219.35,On Time
SH00000021,ORD00000021,WH01,CAR04,2024-01-01,2024-01-05,2024-01-05,849.6,182.6,On Time
SH00000022,ORD00000022,WH02,CAR01,2024-01-03,2024-01-07,2024-01-07,19.0,203.93,On Time
SH00000023,ORD00000023,WH03,CAR01,2024-01-01,2024-01-04,2024-01-04,66.7,207.44,On Time
SH00000024,ORD00000024,WH04,CAR01,2024-01-02,2024-01-06,2024-01-06,544.1,238.67,On Time
SH00000025,ORD00000025,WH05,CAR06,2024-01-01,2024-01-02,2024-01-02,173.5,231.57,On Time
SH00000026,ORD00000026,WH02,CAR06,2024-01-01,2024-01-03,2024-01-03,190.5,227.6,On Time
SH00000027,ORD00000027,WH03,CAR02,2024-01-01,2024-01-03,2024-01-03,465.0,245.43,On Time
SH00000028,ORD00000028,WH04,CAR03,2024-01-01,2024-01-05,2024-01-05,885.6,241.94,On Time
SH00000029,ORD00000029,WH05,CAR05,2024-01-01,2024-01-02,2024-01-02,838.4,288.94,On Time
SH00000030,ORD00000030,WH01,CAR04,2024-01-01,2024-01-05,2024-01-05,932.0,159.58,On Time
SH00000031,ORD00000031,WH02,CAR03,2024-01-01,2024-01-06,2024-01-06,1281.7,303.07,On Time
SH00000032,ORD00000032,WH03,CAR02,2024-01-02,2024-01-04,2024-01-06,32.3,225.45,Late
SH00000033,ORD00000033,WH04,CAR04,2024-01-02,2024-01-05,2024-01-05,771.2,165.19,On Time
SH00000034,ORD00000034,WH05,CAR04,2024-01-01,2024-01-04,2024-01-04,906.2,194.63,On Time
SH00000035,ORD00000035,WH01,CAR04,2024-01-02,2024-01-05,2024-01-05,1124.5,176.26,On Time
SH00000036,ORD00000036,WH02,CAR03,2024-01-02,2024-01-03,2024-01-03,720.0,259.13,On Time
SH00000037,ORD00000037,WH03,CAR06,2024-01-01,2024-01-06,2024-01-06,570.7,258.85,On Time
SH00000038,ORD00000038,WH04,CAR01,2024-01-02,2024-01-05,2024-01-05,354.5,222.39,On Time
SH00000039,ORD00000039,WH05,CAR03,2024-01-01,2024-01-03,2024-01-03,52.9,213.93,On Time
SH00000040,ORD00000040,WH01,CAR06,2024-01-02,2024-01-07,2024-01-07,682.2,261.4,On Time
SH00000041,ORD00000041,WH02,CAR06,2024-01-03,2024-01-06,2024-01-06,477.7,247.09,On Time
SH00000042,ORD00000042,WH03,CAR02,2024-01-02,2024-01-03,2024-01-03,1401.0,328.12,On Time
SH00000043,ORD00000043,WH04,CAR06,2024-01-01,2024-01-04,2024-01-06,508.7,246.36,Late
SH00000044,ORD00000044,WH05,CAR05,2024-01-01,2024-01-03,2024-01-03,724.8,271.39,On Time
SH00000045,ORD00000045,WH01,CAR03,2024-01-01,2024-01-04,2024-01-04,170.4,218.74,On Time
SH00000046,ORD00000046,WH02,CAR05,2024-01-02,2024-01-03,2024-01-03,985.8,307.51,On Time
SH00000047,ORD00000047,WH03,CAR03,2024-01-02,2024-01-06,2024-01-06,958.0,279.21,On Time
SH00000048,ORD00000048,WH04,CAR03,2024-01-01,2024-01-05,2024-01-05,165.6,225.02,On Time
SH00000049,ORD00000049,WH05,CAR06,2024-01-01,2024-01-04,2024-01-04,925.4,249.88,On Time
SH00000050,ORD00000050,WH01,CAR04,2024-01-01,2024-01-04,2024-01-04,421.6,157.97,On Time
SH00000051,ORD00000051,WH02,CAR05,2024-01-02,2024-01-05,2024-01-05,988.2,302.79,On Time
SH00000052,ORD00000052,WH03,CAR04,2024-01-01,2024-01-05,2024-01-05,1667.0,219.07,On Time
SH00000053,ORD00000053,WH04,CAR05,2024-01-02,2024-01-05,2024-01-06,1387.1,306.21,Late
SH00000054,ORD00000054,WH05,CAR03,2024-01-01,2024-01-04,2024-01-04,962.0,277.46,On Time
SH00000055,ORD00000055,WH01,CAR05,2024-01-03,2024-01-06,2024-01-06,954.7,302.83,On Time
SH00000056,ORD00000056,WH02,CAR03,2024-01-03,2024-01-06,2024-01-06,169.8,220.29,On Time
SH00000057,ORD00000057,WH04,CAR03,2024-01-02,2024-01-03,2024-01-03,1621.0,286.82,On Time
SH00000058,ORD00000058,WH05,CAR04,2024-01-02,2024-01-03,2024-01-03,1107.5,168.64,On Time
SH00000059,ORD00000059,WH01,CAR02,2024-01-01,2024-01-06,2024-01-06,1362.9,275.62,On Time
SH00000060,ORD00000060,WH02,CAR02,2024-01-02,2024-01-05,2024-01-05,1646.9,286.11,On Time
SH00000061,ORD00000061,WH03,CAR03,2024-01-02,2024-01-05,2024-01-05,496.7,248.33,On Time
SH00000062,ORD00000062,WH04,CAR02,2024-01-02,2024-01-06,2024-01-06,1069.1,291.94,On Time
SH00000063,ORD00000063,WH05,CAR01,2024-01-02,2024-01-04,2024-01-04,273.2,221.38,On Time
SH00000064,ORD00000064,WH01,CAR01,2024-01-01,2024-01-04,2024-01-04,1056.2,267.83,On Time
SH00000065,ORD00000065,WH02,CAR05,2024-01-03,2024-01-05,2024-01-05,546.1,281.58,On Time
SH00000066,ORD00000066,WH03,CAR04,2024-01-02,2024-01-05,2024-01-05,912.2,171.86,On Time
SH00000067,ORD00000067,WH04,CAR03,2024-01-01,2024-01-04,2024-01-04,307.2,227.74,On Time
SH00000068,ORD00000068,WH05,CAR04,2024-01-03,2024-01-05,2024-01-05,849.7,166.18,On Time
SH00000069,ORD00000069,WH01,CAR03,2024-01-02,2024-01-06,2024-01-06,1332.2,311.91,On Time
SH00000070,ORD00000070,WH02,CAR05,2024-01-03,2024-01-06,2024-01-06,1431.6,310.32,On Time
SH00000071,ORD00000071,WH03,CAR06,2024-01-02,2024-01-05,2024-01-05,79.0,224.45,On Time
SH00000072,ORD00000072,WH04,CAR05,2024-01-02,2024-01-03,2024-01-03,1175.9,335.7,On Time
SH00000073,ORD00000073,WH05,CAR03,2024-01-02,2024-01-05,2024-01-08,1477.8,280.42,Late
SH00000074,ORD00000074,WH01,CAR01,2024-01-02,2024-01-05,2024-01-05,379.9,216.67,On Time
SH00000075,ORD00000075,WH02,CAR02,2024-01-03,2024-01-06,2024-01-06,951.8,279.95,On Time
SH00000076,ORD00000076,WH03,CAR02,2024-01-01,2024-01-05,2024-01-05,1275.8,306.86,On Time
SH00000077,ORD00000077,WH04,CAR04,2024-01-03,2024-01-06,2024-01-06,1047.8,185.66,On Time
SH00000078,ORD00000078,WH05,CAR05,2024-01-02,2024-01-03,2024-01-03,383.2,264.61,On Time
SH00000079,ORD00000079,WH01,CAR05,2024-01-01,2024-01-03,2024-01-03,375.7,263.05,On Time
SH00000080,ORD00000080,WH02,CAR05,2024-01-01,2024-01-04,2024-01-04,1217.3,320.66,On Time
SH00000081,ORD00000081,WH03,CAR03,2024-01-02,2024-01-05,2024-01-05,1750.5,349.33,On Time
SH00000082,ORD00000082,WH04,CAR02,2024-01-01,2024-01-05,2024-01-05,540.6,251.97,On Time
SH00000083,ORD00000083,WH05,CAR03,2024-01-01,2024-01-03,2024-01-03,1611.6,263.09,On Time
SH00000084,ORD00000084,WH01,CAR03,2024-01-01,2024-01-03,2024-01-03,1401.1,260.02,On Time
SH00000085,ORD00000085,WH02,CAR04,2024-01-02,2024-01-05,2024-01-05,336.2,156.48,On Time
SH00000086,ORD00000086,WH03,CAR01,2024-01-01,2024-01-05,2024-01-05,1167.5,253.51,On Time
SH00000087,ORD00000087,WH04,CAR02,2024-01-02,2024-01-05,2024-01-07,1764.9,292.41,Late
SH00000088,ORD00000088,WH05,CAR03,2024-01-01,2024-01-04,2024-01-04,1306.0,313.02,On Time
SH00000089,ORD00000089,WH01,CAR03,2024-01-03,2024-01-05,2024-01-05,1407.5,265.01,On Time
SH00000090,ORD00000090,WH02,CAR01,2024-01-02,2024-01-04,2024-01-04,1124.4,283.41,On Time
SH00000091,ORD00000091,WH03,CAR04,2024-01-02,2024-01-04,2024-01-06,32.5,134.07,Late
SH00000092,ORD00000092,WH04,CAR02,2024-01-02,2024-01-04,2024-01-06,225.3,234.4,Late
SH00000093,ORD00000093,WH05,CAR02,2024-01-02,2024-01-05,2024-01-05,1736.6,329.79,On Time
SH00000094,ORD00000094,WH01,CAR03,2024-01-01,2024-01-05,2024-01-05,1794.7,341.04,On Time
SH00000095,ORD00000095,WH02,CAR05,2024-01-01,2024-01-03,2024-01-03,99.4,253.86,On Time
SH00000096,ORD00000096,WH03,CAR06,2024-01-01,2024-01-04,2024-01-04,637.1,249.46,On Time
SH00000097,ORD00000097,WH04,CAR04,2024-01-02,2024-01-04,2024-01-05,600.2,152.47,Late
SH00000098,ORD00000098,WH05,CAR03,2024-01-01,2024-01-03,2024-01-03,648.2,248.19,On Time
SH00000099,ORD00000099,WH01,CAR04,2024-01-01,2024-01-04,2024-01-04,392.4,153.38,On Time
SH00000100,ORD00000100,WH02,CAR04,2024-01-01,2024-01-03,2024-01-03,1441.4,229.44,On Time
SH00000101,ORD00000101,WH03,CAR03,2024-01-02,2024-01-06,2024-01-06,313.2,234.98,On Time
SH00000102,ORD00000102,WH04,CAR02,2024-01-02,2024-01-05,2024-01-05,747.1,270.84,On Time
SH00000103,ORD00000103,WH05,CAR06,2024-01-03,2024-01-05,2024-01-05,231.9,229.41,On Time
SH00000104,ORD00000104,WH01,CAR02,2024-01-01,2024-01-03,2024-01-03,1479.5,300.23,On Time
SH00000105,ORD00000105,WH02,CAR04,2024-01-01,2024-01-02,2024-01-05,1271.8,228.63,Late
SH00000106,ORD00000106,WH03,CAR01,2024-01-02,2024-01-04,2024-01-04,1514.1,256.21,On Time
SH00000107,ORD00000107,WH04,CAR04,2024-01-02,2024-01-06,2024-01-06,488.7,154.9,On Time
SH00000108,ORD00000108,WH05,CAR02,2024-01-01,2024-01-05,2024-01-05,869.6,249.87,On Time
SH00000109,ORD00000109,WH01,CAR03,2024-01-01,2024-01-05,2024-01-05,154.2,220.69,On Time
SH00000110,ORD00000110,WH02,CAR06,2024-01-02,2024-01-04,2024-01-04,402.6,241.18,On Time
SH00000111,ORD00000111,WH03,CAR02,2024-01-02,2024-01-07,2024-01-07,367.5,251.23,On Time
SH00000112,ORD00000112,WH04,CAR02,2024-01-02,2024-01-04,2024-01-04,1224.4,302.77,On Time
SH00000113,ORD00000113,WH05,CAR03,2024-01-02,2024-01-05,2024-01-05,1442.6,319.46,On Time
SH00000114,ORD00000114,WH01,CAR04,2024-01-02,2024-01-05,2024-01-05,942.7,189.11,On Time
SH00000115,ORD00000115,WH02,CAR03,2024-01-02,2024-01-07,2024-01-07,295.0,230.09,On Time
SH00000116,ORD00000116,WH04,CAR01,2024-01-01,2024-01-04,2024-01-04,1127.9,254.36,On Time
SH00000117,ORD00000117,WH05,CAR02,2024-01-01,2024-01-03,2024-01-03,663.0,249.28,On Time
SH00000118,ORD00000118,WH01,CAR04,2024-01-01,2024-01-02,2024-01-02,1080.3,170.84,On Time
SH00000119,ORD00000119,WH02,CAR04,2024-01-02,2024-01-05,2024-01-05,1527.8,230.93,On Time
SH00000120,ORD00000120,WH03,CAR03,2024-01-02,2024-01-05,2024-01-05,1448.6,321.03,On Time
SH00000121,ORD00000121,WH04,CAR03,2024-01-02,2024-01-04,2024-01-04,684.9,242.49,On Time
SH00000122,ORD00000122,WH05,CAR03,2024-01-01,2024-01-04,2024-01-04,595.6,257.26,On Time
SH00000123,ORD00000123,WH01,CAR02,2024-01-01,2024-01-05,2024-01-05,410.7,249.43,On Time
SH00000124,ORD00000124,WH02,CAR02,2024-01-02,2024-01-05,2024-01-05,257.7,242.91,On Time
SH00000125,ORD00000125,WH03,CAR01,2024-01-01,2024-01-05,2024-01-05,975.1,244.08,On Time
