Customer_ID,Customer_Name,Customer_Type,Location_ID,Sales_Channel,Customer_Since
C00001,Customer 00001,Consumer,LOC04,Marketplace,2023-03-02
C00002,Customer 00002,Consumer,LOC05,Retail Store,2022-09-05
C00003,Customer 00003,Consumer,LOC05,Online,2023-02-08
C00004,Customer 00004,Enterprise,LOC01,Online,2023-06-12
C00005,Customer 00005,Consumer,LOC06,Retail Store,2022-07-26
C00006,Customer 00006,Small Business,LOC02,Online,2020-11-28
C00007,Customer 00007,Consumer,LOC02,Marketplace,2022-02-10
C00008,Customer 00008,Consumer,LOC02,Marketplace,2021-03-10
C00009,Customer 00009,Consumer,LOC03,Online,2022-04-15
C00010,Customer 00010,Small Business,LOC02,Online,2023-01-12
C00011,Customer 00011,Consumer,LOC03,Online,2021-01-11
C00012,Customer 00012,Consumer,LOC02,Online,2021-03-24
C00013,Customer 00013,Consumer,LOC01,Online,2024-01-21
C00014,Customer 00014,Consumer,LOC03,Online,2021-11-10
C00015,Customer 00015,Consumer,LOC05,Marketplace,2020-12-23
C00016,Customer 00016,Consumer,LOC05,Retail Store,2023-07-07
C00017,Customer 00017,Consumer,LOC03,Retail Store,2023-07-13
C00018,Customer 00018,Small Business,LOC02,Online,2024-01-27
C00019,Customer 00019,Small Business,LOC05,Online,2023-09-29
C00020,Customer 00020,Consumer,LOC05,Online,2024-11-20
C00021,Customer 00021,Consumer,LOC05,Online,2022-10-31
C00022,Customer 00022,Consumer,LOC06,Retail Store,2021-05-31
C00023,Customer 00023,Consumer,LOC05,Online,2024-04-02
C00024,Customer 00024,Consumer,LOC06,Online,2021-04-21
C00025,Customer 00025,Consumer,LOC03,Retail Store,2021-06-07
C00026,Customer 00026,Consumer,LOC03,Online,2024-01-31
C00027,Customer 00027,Small Business,LOC02,Online,2024-05-05
C00028,Customer 00028,Consumer,LOC02,Online,2021-09-02
C00029,Customer 00029,Small Business,LOC05,Marketplace,2023-08-05
C00030,Customer 00030,Consumer,LOC05,Marketplace,2024-07-18
C00031,Customer 00031,Consumer,LOC05,Online,2023-12-08
C00032,Customer 00032,Consumer,LOC02,Retail Store,2020-01-09
C00033,Customer 00033,Consumer,LOC03,Retail Store,2023-04-11
C00034,Customer 00034,Small Business,LOC02,Retail Store,2020-11-01
C00035,Customer 00035,Small Business,LOC06,Online,2024-03-03
C00036,Customer 00036,Consumer,LOC02,Online,2020-04-30
C00037,Customer 00037,Enterprise,LOC01,Retail Store,2024-11-22
C00038,Customer 00038,Consumer,LOC04,Online,2020-11-15
C00039,Customer 00039,Consumer,LOC06,Marketplace,2022-01-26
C00040,Customer 00040,Consumer,LOC06,Marketplace,2021-02-25
C00041,Customer 00041,Small Business,LOC01,Online,2024-01-05
C00042,Customer 00042,Consumer,LOC02,Marketplace,2021-12-09
C00043,Customer 00043,Consumer,LOC01,Retail Store,2023-09-02
C00044,Customer 00044,Consumer,LOC02,Marketplace,2020-04-30
C00045,Customer 00045,Enterprise,LOC04,Online,2022-03-26
C00046,Customer 00046,Small Business,LOC02,Retail Store,2024-06-27
C00047,Customer 00047,Consumer,LOC01,Online,2024-07-26
C00048,Customer 00048,Small Business,LOC04,Marketplace,2021-01-10
C00049,Customer 00049,Small Business,LOC01,Retail Store,2021-12-10
C00050,Customer 00050,Consumer,LOC02,Marketplace,2022-01-06
C00051,Customer 00051,Consumer,LOC01,Online,2022-10-14
C00052,Customer 00052,Small Business,LOC01,Online,2022-08-25
C00053,Customer 00053,Consumer,LOC03,Online,2020-07-09
C00054,Customer 00054,Consumer,LOC06,Online,2023-10-04
C00055,Customer 00055,Consumer,LOC05,Online,2021-02-10
C00056,Customer 00056,Consumer,LOC01,Marketplace,2021-07-20
C00057,Customer 00057,Consumer,LOC01,Online,2024-02-22
C00058,Customer 00058,Small Business,LOC03,Marketplace,2023-05-26
C00059,Customer 00059,Consumer,LOC04,Retail Store,2021-12-14
C00060,Customer 00060,Consumer,LOC05,Online,2024-06-30
C00061,Customer 00061,Small Business,LOC05,Marketplace,2021-12-10
C00062,Customer 00062,Consumer,LOC03,Marketplace,2022-10-14
C00063,Customer 00063,Consumer,LOC02,Online,2021-03-18
C00064,Customer 00064,Consumer,LOC01,Online,2020-11-25
C00065,Customer 00065,Small Business,LOC01,Marketplace,2022-06-03
C00066,Customer 00066,Consumer,LOC01,Retail Store,2022-10-10
C00067,Customer 00067,Consumer,LOC06,Marketplace,2023-12-21
C00068,Customer 00068,Small Business,LOC02,Retail Store,2021-12-04
C00069,Customer 00069,Enterprise,LOC05,Retail Store,2024-05-30
C00070,Customer 00070,Consumer,LOC04,Online,2022-12-29
C00071,Customer 00071,Consumer,LOC04,Marketplace,2020-05-06
C00072,Customer 00072,Consumer,LOC03,Online,2023-08-23
C00073,Customer 00073,Consumer,LOC05,Retail Store,2022-10-31
C00074,Customer 00074,Consumer,LOC01,Online,2021-12-01
C00075,Customer 00075,Consumer,LOC01,Online,2022-04-21
C00076,Customer 00076,Consumer,LOC03,Retail Store,2021-06-27
C00077,Customer 00077,Consumer,LOC03,Online,2023-01-10
C00078,Customer 00078,Consumer,LOC04,Marketplace,2022-10-17
C00079,Customer 00079,Consumer,LOC05,Online,2022-03-16
C00080,Customer 00080,Consumer,LOC04,Retail Store,2021-05-28
C00081,Customer 00081,Small Business,LOC02,Retail Store,2021-12-18
C00082,Customer 00082,Consumer,LOC02,Online,2022-06-15
C00083,Customer 00083,Consumer,LOC05,Marketplace,2022-04-29
