Return_ID,Order_ID,Product_ID,Customer_ID,Warehouse_ID,Return_Date,Returned_Qty,Return_Reason,Refund_Value
RET0000001,ORD00000005,P0001,C00339,WH05,2024-01-05,2,Customer Changed Mind,3416.56
RET0000002,ORD00000021,P0005,C00012,WH01,2024-01-09,1,Damaged,1650.77
RET0000003,ORD00000043,P0009,C00774,WH04,2024-01-12,2,Wrong Product,6414.96
RET0000004,ORD00000081,P0017,C00022,WH03,2024-01-06,2,Customer Changed Mind,2118.18
RET0000005,ORD00000123,P0026,C00459,WH01,2024-01-05,2,Quality Issue,5443.27
RET0000006,ORD00000127,P0026,C00087,WH05,2024-01-04,2,Late Delivery,5729.76
RET0000007,ORD00000141,P0029,C00318,WH04,2024-01-16,2,Customer Changed Mind,8357.4
RET0000008,ORD00000155,P0032,C00096,WH03,2024-01-21,2,Customer Changed Mind,3996.63
RET0000009,ORD00000169,P0035,C00410,WH02,2024-01-12,2,Quality Issue,4038.58
RET0000010,ORD00000190,P0039,C00243,WH03,2024-01-05,2,Damaged,1311.52
RET0000011,ORD00000216,P0004,C00950,WH05,2024-01-08,1,Damaged,2227.7
RET0000012,ORD00000224,P0006,C00081,WH04,2024-01-09,1,Late Delivery,3622.89
RET0000013,ORD00000225,P0007,C00462,WH01,2024-01-15,2,Customer Changed Mind,5617.58
RET0000014,ORD00000290,P0020,C00649,WH04,2024-01-05,2,Wrong Product,5887.36
RET0000015,ORD00000301,P0022,C00399,WH05,2024-01-21,2,Damaged,1222.52
RET0000016,ORD00000348,P0032,C00296,WH02,2024-01-06,1,Quality Issue,1998.32
RET0000017,ORD00000363,P0035,C00241,WH03,2024-01-15,1,Damaged,2125.57
RET0000018,ORD00000392,P0001,C00720,WH03,2024-01-19,1,Quality Issue,1798.19
RET0000019,ORD00000411,P0005,C00391,WH02,2024-01-15,1,Wrong Product,1650.77
RET0000020,ORD00000413,P0005,C00332,WH04,2024-01-15,1,Customer Changed Mind,1403.15
RET0000021,ORD00000423,P0007,C00638,WH04,2024-01-21,2,Customer Changed Mind,5913.24
RET0000022,ORD00000438,P0010,C00311,WH04,2024-01-16,2,Damaged,7135.6
RET0000023,ORD00000460,P0015,C00252,WH02,2024-01-15,1,Late Delivery,309.1
RET0000024,ORD00000470,P0017,C00107,WH02,2024-01-16,1,Wrong Product,1081.39
RET0000025,ORD00000490,P0021,C00805,WH02,2024-01-11,2,Customer Changed Mind,1429.55
RET0000026,ORD00000495,P0022,C00765,WH02,2024-01-08,2,Quality Issue,1222.52
RET0000027,ORD00000497,P0022,C00277,WH04,2024-01-15,1,Damaged,550.13
RET0000028,ORD00000501,P0023,C00429,WH03,2024-01-13,2,Quality Issue,1705.27
RET0000029,ORD00000525,P0028,C00325,WH04,2024-01-22,1,Quality Issue,4304.95
RET0000030,ORD00000608,P0005,C00065,WH03,2024-01-09,1,Customer Changed Mind,1650.77
RET0000031,ORD00000664,P0017,C00150,WH02,2024-01-19,1,Customer Changed Mind,1114.83
RET0000032,ORD00000677,P0019,C00590,WH05,2024-01-10,1,Late Delivery,2758.24
RET0000033,ORD00000716,P0027,C00319,WH05,2024-01-18,1,Quality Issue,769.37
RET0000034,ORD00000721,P0028,C00273,WH05,2024-01-16,2,Damaged,8609.9
RET0000035,ORD00000725,P0029,C00529,WH04,2024-01-12,1,Damaged,4643.0
RET0000036,ORD00000770,P0039,C00717,WH02,2024-01-20,2,Quality Issue,1180.37
RET0000037,ORD00000793,P0003,C00843,WH05,2024-01-20,2,Quality Issue,2440.58
RET0000038,ORD00000831,P0011,C00961,WH04,2024-01-23,2,Damaged,1418.56
RET0000039,ORD00000842,P0013,C00118,WH05,2024-01-09,1,Quality Issue,3614.28
RET0000040,ORD00000868,P0019,C00346,WH01,2024-01-17,1,Customer Changed Mind,2675.49
RET0000041,ORD00000920,P0029,C00419,WH03,2024-01-20,2,Damaged,8821.7
RET0000042,ORD00000948,P0035,C00293,WH02,2024-01-11,1,Wrong Product,2125.57
RET0000043,ORD00000963,P0038,C00410,WH02,2024-01-08,2,Customer Changed Mind,4090.73
RET0000044,ORD00000968,P0039,C00832,WH02,2024-01-13,2,Quality Issue,1245.94
RET0000045,ORD00001015,P0008,C00938,WH04,2024-01-14,2,Wrong Product,1840.49
RET0000046,ORD00001018,P0009,C00327,WH02,2024-01-09,2,Wrong Product,6414.96
RET0000047,ORD00001052,P0016,C00505,WH01,2024-01-19,1,Damaged,1054.92
RET0000048,ORD00001056,P0016,C00584,WH05,2024-01-24,2,Quality Issue,2220.88
RET0000049,ORD00001068,P0019,C00570,WH02,2024-01-09,1,Customer Changed Mind,2620.33
RET0000050,ORD00001116,P0028,C00767,WH05,2024-01-24,1,Quality Issue,4089.7
RET0000051,ORD00001120,P0029,C00176,WH04,2024-01-09,2,Quality Issue,9286.0
RET0000052,ORD00001163,P0038,C00994,WH02,2024-01-17,2,Quality Issue,3863.47
RET0000053,ORD00001164,P0038,C00223,WH03,2024-01-15,1,Customer Changed Mind,2272.63
RET0000054,ORD00001176,P0001,C00224,WH01,2024-01-25,2,Customer Changed Mind,3596.38
RET0000055,ORD00001178,P0001,C00193,WH03,2024-01-18,2,Customer Changed Mind,3596.38
RET0000056,ORD00001252,P0016,C00736,WH05,2024-01-10,1,Customer Changed Mind,1110.44
RET0000057,ORD00001264,P0019,C00492,WH02,2024-01-12,1,Damaged,2482.42
RET0000058,ORD00001272,P0020,C00174,WH05,2024-01-25,2,Damaged,5159.02
RET0000059,ORD00001275,P0021,C00169,WH03,2024-01-25,1,Quality Issue,840.91
RET0000060,ORD00001296,P0026,C00696,WH01,2024-01-25,1,Quality Issue,2864.88
RET0000061,ORD00001311,P0029,C00498,WH01,2024-01-26,1,Customer Changed Mind,4410.85
RET0000062,ORD00001341,P0035,C00362,WH02,2024-01-15,2,Damaged,4251.14
RET0000063,ORD00001367,P0040,C00849,WH05,2024-01-13,2,Damaged,1719.64
RET0000064,ORD00001383,P0004,C00305,WH01,2024-01-18,2,Customer Changed Mind,4232.63
RET0000065,ORD00001418,P0011,C00722,WH04,2024-01-23,2,Customer Changed Mind,1493.22
RET0000066,ORD00001426,P0013,C00362,WH04,2024-01-13,1,Damaged,3505.85
RET0000067,ORD00001432,P0014,C00105,WH05,2024-01-24,2,Damaged,5268.64
RET0000068,ORD00001445,P0017,C00436,WH03,2024-01-21,1,Quality Issue,1114.83
RET0000069,ORD00001448,P0018,C00844,WH01,2024-01-15,1,Quality Issue,1297.99
RET0000070,ORD00001470,P0022,C00694,WH04,2024-01-16,2,Damaged,1222.52
RET0000071,ORD00001492,P0027,C00528,WH03,2024-01-28,2,Quality Issue,1538.74
RET0000072,ORD00001513,P0031,C00649,WH05,2024-01-28,1,Damaged,561.41
RET0000073,ORD00001525,P0034,C00718,WH02,2024-01-28,1,Wrong Product,3907.26
RET0000074,ORD00001547,P0038,C00622,WH04,2024-01-25,1,Quality Issue,1931.74
RET0000075,ORD00001558,P0001,C00403,WH01,2024-01-21,1,Quality Issue,1798.19
RET0000076,ORD00001560,P0001,C00506,WH03,2024-01-24,2,Quality Issue,3416.56
RET0000077,ORD00001592,P0008,C00296,WH01,2024-01-12,1,Quality Issue,968.68
RET0000078,ORD00001596,P0008,C00997,WH05,2024-01-23,2,Customer Changed Mind,1879.24
RET0000079,ORD00001622,P0014,C00431,WH02,2024-01-27,2,Damaged,5268.64
RET0000080,ORD00001635,P0016,C00524,WH05,2024-01-16,2,Customer Changed Mind,2109.84
RET0000081,ORD00001712,P0032,C00623,WH03,2024-01-27,2,Customer Changed Mind,4120.24
RET0000082,ORD00001739,P0038,C00444,WH01,2024-01-22,1,Damaged,2159.0
RET0000083,ORD00001745,P0039,C00746,WH02,2024-01-23,1,Wrong Product,622.97
RET0000084,ORD00001767,P0003,C00812,WH04,2024-01-14,1,Quality Issue,1220.29
RET0000085,ORD00001788,P0007,C00213,WH05,2024-01-23,1,Quality Issue,2867.92
RET0000086,ORD00001810,P0012,C00786,WH02,2024-01-28,1,Quality Issue,3089.32
RET0000087,ORD00001818,P0013,C00042,WH05,2024-01-20,1,Customer Changed Mind,3614.28
RET0000088,ORD00001835,P0017,C00740,WH02,2024-01-18,2,Damaged,2162.77
RET0000089,ORD00001881,P0026,C00869,WH04,2024-01-13,2,Quality Issue,5729.76
RET0000090,ORD00001897,P0029,C00085,WH05,2024-01-30,2,Damaged,9286.0
RET0000091,ORD00001899,P0030,C00432,WH02,2024-01-16,1,Quality Issue,3286.04
RET0000092,ORD00001917,P0034,C00696,WH01,2024-01-21,1,Customer Changed Mind,3907.26
RET0000093,ORD00001931,P0036,C00515,WH05,2024-01-28,1,Damaged,2533.06
RET0000094,ORD00001952,P0001,C00290,WH02,2024-01-24,1,Damaged,1618.37
RET0000095,ORD00001963,P0003,C00101,WH03,2024-01-14,2,Quality Issue,2367.36
