Order_ID,Date_ID,Order_Date,Product_ID,Customer_ID,Warehouse_ID,Quantity,Unit_Price,Discount_Rate,Sales_Value
ORD00000001,20240101,2024-01-01,P0001,C00099,WH01,5,1798.19,0.0,8990.95
ORD00000002,20240101,2024-01-01,P0001,C00342,WH02,11,1798.19,0.1,17802.08
ORD00000003,20240101,2024-01-01,P0001,C00449,WH03,16,1798.19,0.0,28771.04
ORD00000004,20240101,2024-01-01,P0001,C00533,WH04,3,1798.19,0.0,5394.57
ORD00000005,20240101,2024-01-01,P0001,C00339,WH05,6,1798.19,0.05,10249.68
ORD00000006,20240101,2024-01-01,P0002,C00563,WH01,5,950.45,0.0,4752.25
ORD00000007,20240101,2024-01-01,P0002,C00129,WH02,13,950.45,0.0,12355.85
ORD00000008,20240101,2024-01-01,P0002,C00344,WH03,9,950.45,0.03,8297.43
ORD00000009,20240101,2024-01-01,P0002,C00523,WH04,6,950.45,0.15,4847.3
ORD00000010,20240101,2024-01-01,P0002,C00620,WH05,11,950.45,0.05,9932.2
ORD00000011,20240101,2024-01-01,P0003,C00098,WH01,8,1220.29,0.05,9274.2
ORD00000012,20240101,2024-01-01,P0003,C00246,WH02,9,1220.29,0.0,10982.61
ORD00000013,20240101,2024-01-01,P0003,C00118,WH03,4,1220.29,0.05,4637.1
ORD00000014,20240101,2024-01-01,P0003,C00321,WH04,8,1220.29,0.1,8786.09
ORD00000015,20240101,2024-01-01,P0003,C00199,WH05,11,1220.29,0.0,13423.19
ORD00000016,20240101,2024-01-01,P0004,C00421,WH01,6,2227.7,0.03,12965.21
ORD00000017,20240101,2024-01-01,P0004,C00354,WH02,12,2227.7,0.0,26732.4
ORD00000018,20240101,2024-01-01,P0004,C00691,WH03,16,2227.7,0.1,32078.88
ORD00000019,20240101,2024-01-01,P0004,C00987,WH04,12,2227.7,0.0,26732.4
ORD00000020,20240101,2024-01-01,P0004,C00579,WH05,4,2227.7,0.1,8019.72
ORD00000021,20240101,2024-01-01,P0005,C00012,WH01,1,1650.77,0.0,1650.77
ORD00000022,20240101,2024-01-01,P0005,C00612,WH02,5,1650.77,0.0,8253.85
ORD00000023,20240101,2024-01-01,P0005,C00160,WH03,2,1650.77,0.0,3301.54
ORD00000024,20240101,2024-01-01,P0005,C00249,WH04,1,1650.77,0.0,1650.77
ORD00000025,20240101,2024-01-01,P0005,C00406,WH05,7,1650.77,0.05,10977.62
ORD00000026,20240101,2024-01-01,P0006,C00101,WH02,2,3622.89,0.1,6521.2
ORD00000027,20240101,2024-01-01,P0006,C00693,WH03,1,3622.89,0.05,3441.75
ORD00000028,20240101,2024-01-01,P0006,C00783,WH04,1,3622.89,0.0,3622.89
ORD00000029,20240101,2024-01-01,P0006,C00830,WH05,2,3622.89,0.0,7245.78
ORD00000030,20240101,2024-01-01,P0007,C00613,WH01,7,2956.62,0.1,18626.71
ORD00000031,20240101,2024-01-01,P0007,C00274,WH02,4,2956.62,0.0,11826.48
ORD00000032,20240101,2024-01-01,P0007,C00332,WH03,8,2956.62,0.0,23652.96
ORD00000033,20240101,2024-01-01,P0007,C00083,WH04,9,2956.62,0.0,26609.58
ORD00000034,20240101,2024-01-01,P0007,C00220,WH05,6,2956.62,0.0,17739.72
ORD00000035,20240101,2024-01-01,P0008,C00115,WH01,4,968.68,0.03,3758.48
ORD00000036,20240101,2024-01-01,P0008,C00220,WH02,12,968.68,0.1,10461.74
ORD00000037,20240101,2024-01-01,P0008,C00336,WH03,6,968.68,0.05,5521.48
ORD00000038,20240101,2024-01-01,P0008,C00031,WH04,3,968.68,0.0,2906.04
ORD00000039,20240101,2024-01-01,P0008,C00539,WH05,8,968.68,0.03,7516.96
ORD00000040,20240101,2024-01-01,P0009,C00137,WH01,2,3207.48,0.0,6414.96
ORD00000041,20240101,2024-01-01,P0009,C00741,WH02,1,3207.48,0.0,3207.48
ORD00000042,20240101,2024-01-01,P0009,C00675,WH03,3,3207.48,0.1,8660.2
ORD00000043,20240101,2024-01-01,P0009,C00774,WH04,4,3207.48,0.0,12829.92
ORD00000044,20240101,2024-01-01,P0009,C00124,WH05,2,3207.48,0.0,6414.96
ORD00000045,20240101,2024-01-01,P0010,C00414,WH01,7,3567.8,0.0,24974.6
ORD00000046,20240101,2024-01-01,P0010,C00913,WH02,3,3567.8,0.0,10703.4
ORD00000047,20240101,2024-01-01,P0010,C00304,WH03,3,3567.8,0.0,10703.4
ORD00000048,20240101,2024-01-01,P0010,C00234,WH04,5,3567.8,0.0,17839.0
ORD00000049,20240101,2024-01-01,P0010,C00156,WH05,3,3567.8,0.03,10382.3
